duration_days,survival,ci_lower,ci_upper,at_risk
0.0,1.0,1.0,1.0,2668
1.0,0.5509745127436283,0.5318864641370978,0.5696248121021991,2668
2.0,0.3981138265223218,0.37950082012548064,0.4166526751828002,1467
3.0,0.324291395114209,0.3065734189470935,0.3421186668931185,1057
4.0,0.2741976023729898,0.2573744793775654,0.29125875312101646,861
5.0,0.23346398331345355,0.2175656516644501,0.24970839985805895,727
6.0,0.2025366058793612,0.187480095027839,0.21802377403428716,619
7.0,0.18213179857061956,0.1677055376647058,0.19704609859388458,536
8.0,0.16626139288604272,0.15237333400262928,0.18068309918261777,482
9.0,0.15411444180761033,0.14066731484994793,0.168131013943077,438
10.0,0.14272667517158003,0.12972062275798016,0.1563363465620672,406
11.0,0.13551442296876076,0.12280279471426937,0.14885165390784968,376
12.0,0.1290613552083437,0.11662383011330846,0.14214439743068166,357
13.0,0.12106640400074722,0.10898222668775422,0.13382126003576578,339
14.0,0.1111678929818182,0.09954631330087453,0.12349190660231261,318
15.0,0.1038844793036991,0.09262000000350512,0.11587560249646568,290
16.0,0.09928442855962381,0.0882548922397538,0.11105613878368208,271
17.0,0.09506771537755491,0.08426039280821392,0.10663162390920163,259
18.0,0.09085100219548595,0.0802728417747485,0.10220034099575506,248
19.0,0.08740096413742951,0.0770157676720771,0.09856942137179872,237
20.0,0.08392039476912479,0.07373323863125747,0.09490344917895845,226
21.0,0.0796663655411968,0.06972901501932852,0.09041527274637537,217
22.0,0.07695925603251533,0.06718557350078762,0.0875545894278408,206
23.0,0.07618579617289208,0.06645957724824594,0.08673656947383504,199
24.0,0.07347868666421063,0.06392113553318052,0.08387102541952951,197
25.0,0.06999811729590594,0.06066349435946804,0.08018085503129706,190
26.0,0.06767773771703613,0.058495735454660046,0.07771685252846434,181
27.0,0.06690427785741286,0.05777389161784236,0.07689479697293032,175
28.0,0.06419716834873142,0.05525047878352926,0.07401464870540442,173
29.0,0.0630299471060272,0.05416346647862296,0.07277196139215722,165
30.0,0.06224696639663555,0.05343447166973984,0.0719382655851476,161
31.0,0.061855476041939736,0.05307013941269265,0.07152125745943601,159
32.0,0.05872355320437315,0.05015957297964123,0.06818122327984462,158
33.0,0.05754908214028569,0.04907005361800544,0.06692682579086086,150
34.0,0.05754908214028569,0.04907005361800544,0.06692682579086086,147
35.0,0.05597239495836006,0.047608350267919326,0.06524213770334855,146
36.0,0.05517846027809961,0.04687267387130517,0.06439358484787724,141
37.0,0.05437877244798223,0.04613177408176864,0.06353889788590858,138
38.0,0.05317924070280612,0.04502151096431674,0.06225581561317412,136
39.0,0.05237955287268872,0.044282076964730625,0.061399709767424884,133
40.0,0.05197970895763004,0.04391258693288147,0.060971437159043546,131
41.0,0.051579865042571345,0.043543250299571803,0.06054301607986613,130
42.0,0.0503517730177482,0.042407512617244736,0.05922910768281449,126
43.0,0.049939053566783055,0.042025902904151854,0.058787557866785016,122
44.0,0.04952633411581788,0.041644476925667515,0.05834583061769631,121
45.0,0.04622457850809668,0.03859993157760237,0.05480538598368218,120
46.0,0.045399139606166414,0.03784078223860606,0.05391835628182594,112
47.0,0.044573700704236115,0.037082465489574286,0.053030522759679836,110
48.0,0.043748261802305795,0.036325001732051915,0.052141865770947086,108
49.0,0.042510103449410364,0.03519045243762076,0.050807291054103455,106
50.0,0.041271945096514925,0.034057947065736366,0.04947074350344984,103
51.0,0.040446506194584626,0.03330411928177429,0.048578577018418924,100
52.0,0.038795628390724014,0.03179940271502863,0.046791407928750854,98
